id,date,sender,text,clearedmsg
350,2018-09-08 14:59:54+08:00,NTUFreeFood,cleared’,349
351,2018-09-10 20:37:12+08:00,NTUFreeFood,"hi all, chilli crab sauce fish and cereal chicken outside hss audi  do bring your own cutlery",-2
352,2018-09-11 21:47:26+08:00,PeerUser(user_id=85759300),noodles outside lt23 here for another 15mins  till 10 ,-2
353,2018-09-12 14:18:35+08:00,PeerUser(user_id=131454368),nanyang executive centre buffet spread. clearing very soon,-1
354,2018-09-12 20:40:45+08:00,PeerUser(user_id=194181405),free food at hall 5 mph    clearing soon at 9pm,-2
358,2018-09-13 20:19:54+08:00,NTUFreeFood,hi all  there’s a wrap making session over at north spine & they’ve got quite some food leftover so please feel free to join in  it officially ends at 10 but the food will be till stocks last 😊,-2
359,2018-09-17 17:37:02+08:00,NTUFreeFood,hi all  buffet over at hss foyer  pretty big so there’s quite some food left and should be clearing at 6.30.,-2
360,2018-09-17 20:07:50+08:00,PeerUser(user_id=546207795),"hello guys  there is leftover food from an event, at hive l2, outside tr 52",-2
362,2018-09-20 18:25:55+08:00,PeerUser(user_id=311682526),"7 sets of yolo bento at 71 nanyang drive, level 3, singapore 638075 (behind the arc)",-2
363,2018-09-20 18:39:48+08:00,NTUFreeFood,cleared ,362
364,2018-09-21 19:25:18+08:00,PeerUser(user_id=41787514),the hive tr+52 at level 2. clearing by 8:30pm,-2
365,2018-09-27 19:36:47+08:00,NTUFreeFood,"hi all, lots of leftover food at ns level 1 all the way inside  near subway,macs, ljs area.",-2
366,2018-09-27 20:46:04+08:00,NTUFreeFood,cleared ,365
367,2018-09-27 20:57:15+08:00,NTUFreeFood,food at hive tr +33. clearing soon ,-2
369,2018-09-28 13:06:13+08:00,NTUFreeFood,"hi all, food over at nie function space between block 4 and 5; left curry, beehoon, rice and some fish // cleared",-2
370,2018-09-28 20:08:12+08:00,PeerUser(user_id=195869207),free food outside lt19a clearing by 9.30,-2
371,2018-09-28 20:42:58+08:00,NTUFreeFood,cleared ,370
372,2018-09-29 13:03:37+08:00,PeerUser(user_id=281688227),17 packets of food outside lt8,-2
373,2018-10-01 17:16:19+08:00,PeerUser(user_id=687074599),free food outside lt1,-2
377,2018-10-01 17:31:55+08:00,NTUFreeFood,"leftovers outside lt27, clearing around 6pm ",-2
378,2018-10-01 17:52:56+08:00,NTUFreeFood,this has been cleared (lt1),-2
379,2018-10-03 20:02:58+08:00,NTUFreeFood,"hi guys, leftovers outside lt27  clearing by 830",-2
380,2018-10-04 09:31:38+08:00,NTUFreeFood,hi all  there are 20 packs of leftover breakfast up for grabs at lhs tr+50,-2
381,2018-10-04 11:13:21+08:00,PeerUser(user_id=231332904),leftover outside lt26. clearing at 12pm,-2
384,2018-10-04 11:13:22+08:00,PeerUser(user_id=231332904),"outside lt26, clearing at 12pm",-2
387,2018-10-05 21:28:27+08:00,NTUFreeFood,"hi all  there's some food at lt8. fried rice(1 tray) and chicken bring own plate, utensils",-2
388,2018-10-06 09:31:23+08:00,PeerUser(user_id=254380143),soon kueh bee hoon and sandwiches outside lhs tr+47,-2
389,2018-10-10 21:01:19+08:00,PeerUser(user_id=115912517),"spms mas atrium, some sweet sour chicken and dory fillet and a lot of beehoon left",-2
390,2018-10-11 19:18:17+08:00,PeerUser(user_id=311682526),"bentos at 71 nanyang drive, level 3, singapore 638075 ",-2
392,2018-10-11 20:15:55+08:00,NTUFreeFood,"outside lt4, clearing 8.45",-2
393,2018-10-11 20:31:19+08:00,NTUFreeFood,hi all  extra pizza over at src netball court,-2
394,2018-10-11 21:49:57+08:00,NTUFreeFood,cleared,393
395,2018-10-12 13:43:19+08:00,PeerUser(user_id=311682526),"free food at 71 nanyang drive, level 3 nic-03-22 singaore 638075 (beside lwn bus stop) - bring your own containers and utensils  clear by 3pm.",-2
396,2018-10-12 14:29:50+08:00,NTUFreeFood,cleared ,395
397,2018-10-12 18:41:48+08:00,PeerUser(user_id=48628073),hi all  buffet leftover at ntu clubhouse. do come and take by 7pm and bring containers to dabao,-2
398,2018-10-12 19:11:59+08:00,NTUFreeFood,cleared ,397
400,2018-10-15 13:32:24+08:00,PeerUser(user_id=283624294),"outside lt2a ntu.  a lot of vegetarian food, vegetable, squid balls, beancurd, etc. estimated time of clearing 1 hour from now. zq",-2
401,2018-10-16 18:32:51+08:00,PeerUser(user_id=586305807),"arc, outside tr38",-2
402,2018-10-16 18:32:58+08:00,NTUFreeFood,clearing in about half an hour,401
403,2018-10-17 16:18:50+08:00,PeerUser(user_id=219468871),"will be clearing at 5pm, still gt mee hoon,  tang shui, sandwiches chinese heritage centre,  lvl2  just come and take, staff say dun waste food",-2
406,2018-10-18 20:22:11+08:00,NTUFreeFood,"hi all, leftovers over at canopy k at ns. mango jelly, a lot of baos and some tuna sandwiches. will be cleared by 10pm",-2
407,2018-10-18 20:39:23+08:00,PeerUser(user_id=425483148),leftover fried rice at hive l3 tr56 feel free to take 😄,-2
408,2018-10-18 21:44:54+08:00,NTUFreeFood,cleared ,407
411,2018-10-24 19:43:43+08:00,NTUFreeFood,hive level 3 outside tr+56. not sure what time they’re clearing but head there asap,-2
412,2018-10-24 19:44:18+08:00,NTUFreeFood,lots of food outside tr+12 at the arc b2. clearing at 8.30,-2
413,2018-10-24 20:00:59+08:00,NTUFreeFood,"food over at chinese heritage centre, clearing at 830pm ",-2
414,2018-10-25 19:48:00+08:00,NTUFreeFood,"hi all  there is extra food at ns, level 1, all the way inside near ljs area. clearing around 8.30pm",-2
415,2018-10-25 20:04:56+08:00,NTUFreeFood,"hi all, leftovers at the arc b2 tr+12(lhn-b2-12) clearing around 8.30. do bring your own plates/utensils if possible as there are limited ",-2
416,2018-10-25 20:05:07+08:00,NTUFreeFood,"yang zhou 炒饭, thai style chicken cutlet, spring onion ginger fillet, dumpings, carrot cake, butter prawn, clayport style bean curd, sea coconut with lime: food is still nice and hot ",-2
417,2018-10-26 21:37:36+08:00,PeerUser(user_id=271802385),laksa goreng and some egg sandwiches (serves 2-3) at the src tennis courts  do bring along your own container if you wanna dabao the food. thanks ,-2
418,2018-10-30 17:23:02+08:00,PeerUser(user_id=283624294),"the arc b2 near toilet area. clearing 6+pm. organiser permission gotten. 2 trays beehoon, 1 tray chicken, carrot cake, cream puff etc. zq",-2
421,2018-11-01 20:32:57+08:00,PeerUser(user_id=283624294),hass #05-57 beside hass conference room. clearing 9pm. organiser approved. ;) zq,-2
422,2018-11-01 20:32:57+08:00,PeerUser(user_id=283624294),some wine as well. a lot of food  zq,-2
